EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
3772	706.613	96.765	52.54	34.852	10318.648	67.529	44.267
3773	785.625	95.98	52.869	35.178	10180.247	66.923	44.187
3774	871.257	91.795	49.407	31.935	9290.302	60.853	41.529
3775	949.216	92.301	48.253	31.795	9361.558	60.219	40.693
3776	795.107	93.965	52.497	33.724	9747.352	67.072	45.561
3777	964.307	90.644	47.891	33.463	9077.132	58.073	39.866
3778	749.356	96.308	51.354	34.343	10197.21	66.806	43.948
3779	890.284	89.035	47.873	33.107	8741.896	61.944	44.107
3780	713.487	96.5	50.451	34.575	10202.854	68.428	45.154
3781	846.706	94.076	52.491	34.275	9765.781	68.152	46.386
3782	633.983	322.695	37.705	36.828	104810.287	312.532	75.696
3783	932.752	232.705	52.457	31.279	55421.352	74.648	18.723
3784	1610.676	277.577	66.51	48.724	78929.922	152.091	33.23
3785	958.13	91.103	48.352	32.069	9113.713	63.196	43.948
3786	989.976	312.017	48.036	32.081	97923.606	297.942	72.746
3787	752.374	93.853	52.63	33.99	9737.256	66.654	45.235
3788	687.138	320.143	54.192	33.664	103223.678	288.81	64.422
3789	757.061	95.216	51.283	35.02	9969.648	68.799	46.303
3790	780.55	94.855	51.085	34.49	9926.258	64.489	42.844
3791	478.61	328.155	40.084	35.749	108484.093	33.818	5.912
3792	511.154	327.794	38.915	37.344	108190.615	153.927	28.034
3793	780.799	94.041	51.636	36.257	9806.939	64.455	43.236
3794	688.24	97.076	53.173	33.812	10351.778	70.169	46.303
3795	922.574	89.702	47.884	32.277	8876.204	59.355	41.453
3796	782.128	94.921	51.873	34.543	9928.367	67.641	45.48
3797	808.662	95.457	51.841	34.18	10040.947	66.405	44.107
3798	894.656	90.511	48.733	31.342	9000.613	63.173	44.267
3799	464.021	329.899	39.136	38.516	109591.351	154.175	27.84
3800	885.375	90.147	46.927	31.937	8937.393	58.589	40.542
3801	958.675	93.633	48.752	32.046	9627.869	60.898	40.542
3802	827.972	92.474	48.814	32.619	9434.717	58.357	39.124
3803	736.171	94.908	54.566	33.234	9946.762	69.381	46.97
3804	778.796	94.811	51.498	34.65	9927.333	64.792	43.079
3805	1419.116	293.248	75.517	47.394	87767.099	229.676	51.536
3806	749.461	95.185	51.519	33.891	9954.357	68.411	45.972
3807	957.268	262.995	47.611	39.763	69976.529	253.471	74.579
3808	838.285	91.047	48.296	32.049	9121.002	61.014	42.067
3809	753.996	93.671	52.543	34.274	9677.528	69.028	47.476
3810	451.945	327.443	39.907	36.445	108011.73	17.391	3.038
3811	467.029	329.259	38.739	38.363	109150.744	250.874	49.641
3812	414.273	327.589	40.133	37.098	108104.867	106.681	19.026
3813	817.588	94.222	51.893	34.267	9801.625	66.18	44.588
3814	746.821	97.217	52.019	35.81	10411.775	67.542	44.027
3815	899.229	89.177	53.204	32.159	8805.628	67.616	49.288
3816	941.726	89.74	49.326	31.361	8883.345	61.793	43.551
3817	739.967	94.306	52.203	34.377	9813.702	67.455	45.643
3818	787.94	92.128	51.573	35.461	9442.637	62.34	42.61
3819	943.358	90.614	48.141	31.992	9022.674	62.406	43.551
3820	2863.705	269.152	46.503	32.05	73000.839	257.829	73.335
3821	458.93	329.218	39.124	37.863	109146.308	37.66	6.546
3822	801.925	95.576	51.851	34.313	10061.932	66.881	44.427
3823	905.682	90.68	47.376	32.61	9056.991	58.507	40.166
3824	877.5	91.077	48.173	32.662	9133.83	60.776	41.836
3825	898.956	91.05	48.683	30.9	9103.145	62.369	43.236
3826	845.689	309.038	52.254	33.203	96443.504	222.476	46.054
3827	785.376	92.396	50.537	34.206	9448.412	62.532	42.61
3828	1561.334	164.129	86.97	52.098	30124.274	67.279	24.205
3829	709.662	96.7	53.695	34.634	10330.364	67.555	44.347
3830	735.453	92.614	52.862	33.386	9496.574	66.169	45.561
3831	930.668	89.785	47.539	33.181	8900.181	58.68	40.844
3832	904.593	90.486	47.773	32.032	8998.269	61.534	42.844
3833	852.521	93.719	51.048	34.809	9714.608	63.725	42.844
3834	765.981	94.812	51.657	34.96	9938.778	64.496	42.844
3835	792.217	97.194	52.185	34.952	10427.255	64.46	41.529
